Experiment,Baseline_1x6000,Sym_6x1000,AsymA_1x4000_2x1000,AsymB_1x2000_4x1000,Seeds
24,0.868505452212957,0.8640153944836434,0.8646568313021168,0.86337395766517,"[11079, 41342, 76210, 69230, 17342, 88900]"
25,0.8678640153944837,0.8576010262989096,0.8614496472097498,0.8627325208466966,"[83736, 13942, 79814, 11152, 1890, 58495]"
26,0.86337395766517,0.8614496472097498,0.8678640153944837,0.8620910840282232,"[18821, 91063, 69564, 17642, 53933, 62911]"
27,0.8665811417575369,0.8691468890314304,0.8652982681205901,0.8672225785760103,"[63625, 63111, 99134, 65852, 3169, 42051]"
28,0.8627325208466966,0.8627325208466966,0.8595253367543297,0.8620910840282232,"[35189, 90354, 22338, 74510, 6928, 61773]"
29,0.8659397049390635,0.868505452212957,0.8710711994868505,0.8729955099422707,"[48711, 14354, 13273, 10379, 83384, 97125]"
30,0.8569595894804362,0.8588838999358563,0.8524695317511225,0.8627325208466966,"[52039, 54086, 97977, 55719, 31832, 88500]"
31,0.8640153944836434,0.86337395766517,0.8601667735728031,0.8691468890314304,"[64687, 34154, 88071, 81916, 85072, 44763]"
32,0.8678640153944837,0.868505452212957,0.8717126363053239,0.8729955099422707,"[47256, 88767, 31483, 50119, 25412, 56793]"
33,0.8697883258499037,0.8556767158434894,0.8608082103912764,0.8569595894804362,"[23311, 32983, 54657, 25243, 49419, 63067]"
34,0.8678640153944837,0.8569595894804362,0.8614496472097498,0.8569595894804362,"[66783, 79033, 31733, 55417, 30989, 24828]"
35,0.8640153944836434,0.8595253367543297,0.86337395766517,0.858242463117383,"[3920, 79725, 2805, 48047, 22096, 58197]"
36,0.8704297626683771,0.8620910840282232,0.8588838999358563,0.858242463117383,"[24773, 33573, 13922, 90809, 70417, 73433]"
37,0.8678640153944837,0.8601667735728031,0.8640153944836434,0.8640153944836434,"[20096, 74095, 98677, 4545, 91294, 50685]"
38,0.8646568313021168,0.8652982681205901,0.8627325208466966,0.8646568313021168,"[16280, 33978, 15825, 37915, 72907, 20166]"
39,0.8652982681205901,0.8627325208466966,0.8640153944836434,0.8672225785760103,"[25296, 94197, 36477, 72503, 68642, 37318]"
40,0.8620910840282232,0.8620910840282232,0.8576010262989096,0.8627325208466966,"[34976, 9242, 18225, 71893, 27297, 43486]"
41,0.8749198203976908,0.86337395766517,0.8659397049390635,0.8620910840282232,"[49729, 48088, 5216, 66617, 46135, 4389]"
42,0.8659397049390635,0.8742783835792175,0.8710711994868505,0.8723540731237973,"[44406, 10460, 44398, 93784, 57857, 25445]"
43,0.8691468890314304,0.8576010262989096,0.8640153944836434,0.8563181526619628,"[69155, 79810, 21305, 43510, 8662, 50510]"
44,0.86337395766517,0.8697883258499037,0.8627325208466966,0.8704297626683771,"[29554, 53329, 4493, 3848, 37231, 65960]"
45,0.8601667735728031,0.8640153944836434,0.8576010262989096,0.8614496472097498,"[83411, 47627, 66672, 93630, 43579, 79469]"
46,0.8755612572161642,0.868505452212957,0.8672225785760103,0.876844130853111,"[44935, 39580, 27967, 42063, 56676, 18446]"
47,0.8569595894804362,0.858242463117383,0.8556767158434894,0.8511866581141757,"[5487, 30467, 3838, 42957, 79262, 12946]"
48,0.8659397049390635,0.8646568313021168,0.8691468890314304,0.8665811417575369,"[18308, 77410, 84585, 16706, 11691, 65433]"
49,0.8697883258499037,0.8749198203976908,0.8659397049390635,0.8697883258499037,"[29127, 29686, 17042, 55944, 88002, 89050]"
