Experiment,Baseline_Acc,Ensemble3_Acc,Ensemble6_Acc,Ensemble12_Acc,Seeds
37,0.6785714285714286,0.6726190476190477,0.6726190476190477,0.6934523809523809,"[37862, 16252, 37953, 23063, 38739, 24033, 44238, 85068, 41199, 81768, 22666, 29199]"
38,0.6845238095238095,0.6755952380952381,0.6845238095238095,0.6666666666666666,"[13844, 66105, 77142, 6382, 92383, 80408, 10864, 95839, 17000, 45719, 61324, 94973]"
39,0.6755952380952381,0.6875,0.6815476190476191,0.6666666666666666,"[19145, 15758, 42132, 7967, 87813, 70415, 6249, 69660, 4375, 24334, 59877, 38303]"
40,0.6785714285714286,0.6875,0.6785714285714286,0.6815476190476191,"[24097, 65337, 58263, 61948, 83431, 73475, 32353, 44459, 15331, 4439, 33282, 83003]"
41,0.6607142857142857,0.6815476190476191,0.6785714285714286,0.6815476190476191,"[21134, 37106, 99168, 65323, 34855, 33532, 98207, 40845, 59042, 75761, 71414, 32984]"
42,0.6815476190476191,0.6755952380952381,0.6845238095238095,0.6845238095238095,"[99949, 95859, 24145, 18093, 51682, 74959, 2605, 37619, 16554, 30015, 12958, 30527]"
43,0.6845238095238095,0.6904761904761905,0.6577380952380952,0.6636904761904762,"[23961, 27498, 45157, 90644, 3595, 18280, 47311, 49464, 68068, 64720, 88975, 48523]"
44,0.6666666666666666,0.6666666666666666,0.6845238095238095,0.6904761904761905,"[5098, 97189, 31192, 47206, 91303, 91103, 56456, 58313, 56497, 4596, 48125, 64395]"
45,0.6964285714285714,0.6845238095238095,0.6755952380952381,0.6666666666666666,"[65826, 77034, 21939, 1414, 23788, 15288, 59824, 56540, 77801, 90765, 67998, 54177]"
46,0.6994047619047619,0.6875,0.6666666666666666,0.6696428571428571,"[50111, 65091, 30008, 51344, 45256, 73687, 7097, 13385, 22608, 786, 9315, 61412]"
47,0.6845238095238095,0.6845238095238095,0.6785714285714286,0.6845238095238095,"[49368, 31317, 61986, 93914, 12490, 60466, 33012, 22722, 62321, 69883, 26152, 41080]"
48,0.6875,0.6755952380952381,0.6934523809523809,0.6994047619047619,"[32827, 3043, 6066, 73673, 95091, 25787, 10723, 30918, 48261, 29143, 61624, 87029]"
49,0.6636904761904762,0.6785714285714286,0.6517857142857143,0.6696428571428571,"[28714, 85297, 10888, 45508, 8752, 74219, 60017, 5742, 40454, 40253, 74712, 43641]"
50,0.6607142857142857,0.6666666666666666,0.6904761904761905,0.7083333333333334,"[87237, 70641, 78599, 9253, 35397, 29967, 32359, 40606, 61527, 80802, 45672, 70654]"
51,0.6964285714285714,0.7023809523809523,0.6845238095238095,0.6785714285714286,"[94360, 56450, 67053, 75311, 4767, 62549, 57224, 73983, 91446, 72926, 48905, 60898]"
52,0.6785714285714286,0.6636904761904762,0.6607142857142857,0.6547619047619048,"[58645, 77843, 60240, 16314, 86733, 63602, 8713, 87071, 28038, 94620, 73016, 2061]"
53,0.6755952380952381,0.6904761904761905,0.6815476190476191,0.7023809523809523,"[36995, 43496, 80528, 76489, 47277, 72486, 43702, 19630, 70891, 56363, 99098, 71133]"
54,0.6785714285714286,0.6488095238095238,0.6636904761904762,0.6696428571428571,"[23360, 61368, 28682, 59025, 40153, 63594, 62164, 86599, 27000, 64881, 11897, 18051]"
55,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6726190476190477,"[19977, 5016, 50063, 81004, 31000, 73500, 74829, 60363, 57713, 52884, 65421, 73258]"
56,0.6934523809523809,0.6875,0.6964285714285714,0.6755952380952381,"[46127, 81255, 82571, 59935, 13683, 82073, 68916, 71725, 51002, 86505, 59030, 50970]"
57,0.6934523809523809,0.6845238095238095,0.6636904761904762,0.6904761904761905,"[16559, 54895, 10326, 38226, 87919, 67723, 18843, 49496, 40644, 87913, 9484, 58081]"
58,0.6815476190476191,0.6785714285714286,0.6845238095238095,0.6815476190476191,"[87827, 88498, 57540, 21045, 61344, 57454, 45570, 473, 47158, 4636, 36360, 59354]"
59,0.6785714285714286,0.6666666666666666,0.6666666666666666,0.6964285714285714,"[90313, 20537, 41001, 62797, 48110, 17705, 60891, 6340, 6702, 50106, 90374, 3936]"
60,0.6845238095238095,0.7053571428571429,0.6904761904761905,0.6875,"[43964, 51759, 11623, 53111, 27713, 63739, 96621, 92491, 6653, 95124, 8102, 54259]"
61,0.6815476190476191,0.6934523809523809,0.6785714285714286,0.6904761904761905,"[233, 78239, 12449, 67571, 27464, 69951, 69894, 42247, 38665, 93658, 38947, 79342]"
62,0.7023809523809523,0.6964285714285714,0.6964285714285714,0.6845238095238095,"[93988, 73940, 67905, 6682, 25981, 53001, 79442, 63312, 35164, 6262, 83125, 24008]"
63,0.6636904761904762,0.6636904761904762,0.6666666666666666,0.6666666666666666,"[91925, 21819, 66178, 33038, 51425, 12497, 16632, 67836, 80463, 42528, 91766, 3334]"
64,0.6726190476190477,0.6636904761904762,0.6726190476190477,0.6994047619047619,"[53564, 97046, 92783, 73157, 46334, 38341, 6779, 45207, 36787, 98543, 23007, 6984]"
65,0.6875,0.6785714285714286,0.6875,0.6875,"[25184, 38162, 88088, 72417, 42043, 38276, 79775, 26087, 93112, 23619, 68477, 72828]"
66,0.6666666666666666,0.6666666666666666,0.6904761904761905,0.6904761904761905,"[40797, 9343, 4497, 7681, 97788, 48271, 10010, 36762, 96846, 98012, 64712, 33933]"
67,0.6964285714285714,0.6904761904761905,0.6845238095238095,0.6726190476190477,"[20480, 56339, 51327, 55917, 97738, 72509, 91171, 41434, 91108, 24702, 49236, 89441]"
68,0.6547619047619048,0.6726190476190477,0.6666666666666666,0.6726190476190477,"[47347, 21399, 91003, 29186, 3811, 63506, 46720, 73812, 49624, 90375, 39299, 34043]"
69,0.6964285714285714,0.6755952380952381,0.6845238095238095,0.6815476190476191,"[12334, 71633, 81703, 65625, 5539, 85720, 91471, 48883, 39045, 67837, 946, 87559]"
70,0.6636904761904762,0.6696428571428571,0.6755952380952381,0.6726190476190477,"[63283, 37327, 55019, 10907, 18847, 82758, 1136, 78950, 31755, 76381, 59555, 95744]"
71,0.6666666666666666,0.6875,0.6755952380952381,0.6636904761904762,"[71012, 81391, 83739, 23564, 35485, 54294, 24321, 54256, 48002, 59288, 18901, 18986]"
72,0.7023809523809523,0.6845238095238095,0.6785714285714286,0.7083333333333334,"[67123, 5807, 36246, 99895, 11755, 60981, 55229, 85853, 76527, 32433, 29735, 75869]"
73,0.6666666666666666,0.6785714285714286,0.6934523809523809,0.6815476190476191,"[57687, 21166, 56869, 82740, 89251, 91982, 95759, 48347, 43716, 31372, 14114, 79905]"
74,0.6994047619047619,0.6785714285714286,0.6964285714285714,0.6904761904761905,"[10885, 4614, 77423, 14374, 58753, 45073, 38290, 6329, 19135, 44193, 66136, 79850]"
