Experiment,Baseline_Acc,Ensemble3_Acc,Ensemble6_Acc,Seeds
30,0.8411944350186631,0.8411944350186631,0.8513742789277231,"[88145, 62635, 15194, 50136, 64683, 73793]"
31,0.8585001696640652,0.8578215134034611,0.8629114353579912,"[79608, 55851, 90516, 17251, 11471, 32914]"
32,0.8635900916185952,0.8663047166610112,0.8666440447913132,"[93108, 20954, 87513, 65511, 26912, 56298]"
33,0.8445877163216831,0.8547675602307431,0.836104513064133,"[13644, 59592, 26107, 55042, 75904, 11289]"
34,0.840515778758059,0.8496776382762131,0.8615541228367831,"[26065, 79429, 4923, 90339, 56791, 96330]"
35,0.8557855446216491,0.8530709195792331,0.8527315914489311,"[88477, 28275, 75516, 59596, 81452, 8221]"
36,0.838479809976247,0.842212419409569,0.8540889039701391,"[88475, 6832, 66178, 42181, 42413, 64528]"
37,0.8449270444519851,0.8564642008822532,0.8479809976247031,"[14308, 5965, 40382, 7756, 84947, 74720]"
38,0.8452663725822871,0.8513742789277231,0.8571428571428571,"[79382, 80117, 18018, 33168, 26797, 82563]"
39,0.8618934509670851,0.8588394977943672,0.8615541228367831,"[55590, 364, 13465, 43646, 64408, 65022]"
40,0.8520529351883271,0.8571428571428571,0.8540889039701391,"[12085, 57662, 83524, 88160, 61582, 68687]"
41,0.8540889039701391,0.8523922633186292,0.8517136070580251,"[97964, 19676, 47824, 8724, 11726, 32733]"
42,0.8473023413640991,0.8432304038004751,0.8493383101459111,"[8600, 57930, 43526, 41852, 47506, 81728]"
43,0.8500169664065151,0.8574821852731591,0.8547675602307431,"[2914, 16385, 51812, 77984, 26931, 30671]"
44,0.8557855446216491,0.8649474041398032,0.8666440447913132,"[5223, 1381, 64595, 15872, 1230, 59190]"
45,0.8527315914489311,0.840515778758059,0.8452663725822871,"[77902, 41178, 90691, 67304, 69435, 53530]"
46,0.8574821852731591,0.8449270444519851,0.838479809976247,"[39479, 91913, 86472, 23638, 89546, 4329]"
47,0.8615541228367831,0.8544282321004412,0.8625721072276892,"[64877, 71043, 97191, 27645, 61528, 41224]"
48,0.8618934509670851,0.846284356973193,0.8537495758398371,"[9953, 56317, 47836, 55926, 83612, 59501]"
49,0.8595181540549711,0.8598574821852731,0.8534102477095351,"[75803, 31705, 78393, 56328, 79505, 25260]"
50,0.8534102477095351,0.8547675602307431,0.8388191381065491,"[14006, 17003, 34235, 68034, 36201, 90352]"
51,0.8622327790973872,0.8571428571428571,0.8534102477095351,"[90126, 48687, 36059, 75445, 8199, 40736]"
52,0.8578215134034611,0.845945028842891,0.846284356973193,"[40252, 30772, 47720, 65477, 32901, 7225]"
53,0.8476416694944011,0.8547675602307431,0.8605361384458772,"[12720, 92128, 72632, 33284, 14505, 29617]"
54,0.8622327790973872,0.8486596538853071,0.8601968103155752,"[49302, 52030, 77304, 96180, 1476, 15353]"
55,0.8585001696640652,0.8510349507974211,0.8683406854428232,"[15123, 11206, 62934, 22544, 84732, 46857]"
56,0.8506956226671191,0.8557855446216491,0.8629114353579912,"[89035, 70561, 37563, 58090, 62521, 99069]"
57,0.8591788259246692,0.836104513064133,0.8530709195792331,"[31046, 91852, 4956, 81608, 12816, 17417]"
58,0.8669833729216152,0.8493383101459111,0.8473023413640991,"[41967, 50839, 91413, 87092, 99143, 42494]"
59,0.8500169664065151,0.8629114353579912,0.8612147947064812,"[55663, 84382, 63575, 72418, 24691, 50513]"
60,0.8476416694944011,0.8408551068883611,0.8428910756701731,"[38018, 7649, 25519, 49072, 18584, 22504]"
61,0.8554462164913471,0.8561248727519511,0.8632507634882932,"[92704, 63683, 72883, 61491, 76434, 44780]"
62,0.8571428571428571,0.8493383101459111,0.8534102477095351,"[35291, 88819, 83661, 43910, 33839, 69856]"
63,0.8496776382762131,0.8493383101459111,0.8574821852731591,"[18442, 26936, 8926, 48280, 13491, 7133]"
64,0.831693247370207,0.8568035290125552,0.8554462164913471,"[80116, 50927, 53675, 17349, 58440, 44267]"
