feature,impurity_importance,perm_importance_mean,perm_importance_std,rank_perm,rank_impurity,rank_avg
iso_99,0.001725455222103846,0.0006410256410256387,0.00040542021284209847,240.0,192.0,216.0
iso_546,0.0015015950288625266,0.0006410256410256387,0.0004965363264368465,240.0,230.0,235.0
iso_68,0.0011874688470373987,0.0006410256410256387,0.00040542021284209847,240.0,278.0,259.0
iso_446,0.0011464532841659017,0.0006410256410256387,0.00028667538173074127,240.0,287.0,263.5
iso_332,0.0010244426929564463,0.0006410256410256387,0.00040542021284209847,240.0,318.0,279.0
iso_448,0.0009731584592102288,0.0006410256410256387,0.0,240.0,332.0,286.0
iso_117,0.0006831437530205569,0.0006410256410256387,0.00028667538173074127,240.0,434.0,337.0
iso_196,0.0006786089835068668,0.0006410256410256387,0.00040542021284209847,240.0,435.0,337.5
iso_604,0.0005092949443169186,0.0006410256410256387,0.0004965363264368465,240.0,498.0,369.0
iso_285,0.00048146175243633105,0.0006410256410256387,0.00028667538173074127,240.0,512.0,376.0
iso_169,0.005177828845189052,0.0005769230769230749,0.0010513602222344018,251.0,21.0,136.0
iso_456,0.003594748163940997,0.0005769230769230749,0.0009700478173347118,251.0,66.0,158.5
iso_425,0.0034878606707728693,0.0005769230769230749,0.0008333333333333305,251.0,75.0,163.0
iso_226,0.0016641974304290783,0.0005769230769230749,0.0001923076923076916,251.0,201.0,226.0
iso_435,0.0015982204300440447,0.0005769230769230749,0.0001923076923076916,251.0,210.0,230.5
iso_295,0.0010794526615984935,0.0005769230769230749,0.0007824715138290808,251.0,306.0,278.5
iso_589,0.0010775641049868816,0.0005769230769230749,0.00044871794871794715,251.0,307.0,279.0
iso_574,0.0010476721462309947,0.0005769230769230749,0.0006047423802600366,251.0,313.0,282.0
iso_356,0.0008068497168631996,0.0005769230769230749,0.0003452028722522106,251.0,386.0,318.5
iso_442,0.0007987586245903553,0.0005769230769230749,0.0001923076923076916,251.0,392.0,321.5
iso_269,0.0007210442436709955,0.0005769230769230749,0.0007280651725384941,251.0,421.0,336.0
iso_272,0.0005997417263371324,0.0005769230769230749,0.0005324758886485927,251.0,466.0,358.5
iso_531,0.000597013619741429,0.0005769230769230749,0.0005324758886485927,251.0,467.0,359.0
iso_192,0.0005800320216494432,0.0005769230769230749,0.00019230769230769163,251.0,477.0,364.0
iso_406,0.0005508460631066699,0.0005769230769230749,0.0004487179487179471,251.0,486.0,368.5
iso_195,0.00048005525369836197,0.0005769230769230749,0.0005324758886485927,251.0,515.0,383.0
iso_563,0.0004458874669563679,0.0005769230769230749,0.0003452028722522106,251.0,538.0,394.5
iso_461,0.006893806041124387,0.000512820512820511,0.0012756249193674569,268.0,8.0,138.0
iso_514,0.0037057579492302604,0.000512820512820511,0.0011750194089630316,268.0,63.0,165.5
iso_173,0.0034921571782405686,0.000512820512820511,0.0007475579352365744,268.0,74.0,171.0
iso_201,0.0031061553173285118,0.000512820512820511,0.0006280742930213256,268.0,92.0,180.0
iso_555,0.002807295542309243,0.000512820512820511,0.000850416612911638,268.0,109.0,188.5
iso_72,0.0018637181089390534,0.000512820512820511,0.0002564102564102555,268.0,174.0,221.0
iso_557,0.001832936239912635,0.000512820512820511,0.0008006407690254329,268.0,180.0,224.0
iso_183,0.0017580704699956375,0.000512820512820511,0.0008974358974358942,268.0,186.0,227.0
iso_333,0.0015572316406931078,0.000512820512820511,0.00047969966497101645,268.0,220.0,244.0
iso_259,0.0015149641114846801,0.000512820512820511,0.0004796996649710164,268.0,229.0,248.5
iso_526,0.0014697842671792148,0.000512820512820511,0.0006280742930213255,268.0,234.0,251.0
iso_291,0.0014514054377695097,0.000512820512820511,0.00025641025641025554,268.0,238.0,253.0
iso_71,0.0014337504866367837,0.000512820512820511,0.0010256410256410222,268.0,242.0,255.0
iso_271,0.0008309863280045579,0.000512820512820511,0.00025641025641025554,268.0,378.0,323.0
iso_598,0.0008000285951539903,0.000512820512820511,0.0006280742930213256,268.0,391.0,329.5
iso_587,0.0007789319553570678,0.000512820512820511,0.00047969966497101645,268.0,396.0,332.0
iso_503,0.0006956381183307261,0.000512820512820511,0.00025641025641025554,268.0,428.0,348.0
iso_441,0.0006583636089197675,0.000512820512820511,0.0006280742930213256,268.0,444.0,356.0
iso_23,0.0005777943241917217,0.000512820512820511,0.0003846153846153832,268.0,478.0,373.0
iso_168,0.005221419630098324,0.00044871794871794715,0.0008133703551570176,287.0,20.0,153.5
iso_385,0.004211656204869726,0.00044871794871794715,0.0012179487179487134,287.0,43.0,165.0
iso_140,0.004140649714207511,0.00044871794871794715,0.0005769230769230748,287.0,46.0,166.5
iso_176,0.00303780376084028,0.00044871794871794715,0.0006442227962256958,287.0,99.0,193.0
iso_178,0.0027965739216713366,0.00044871794871794715,0.0005006570305068351,287.0,110.0,198.5
iso_109,0.0026185590003081115,0.00044871794871794715,0.0008624117978893373,287.0,118.0,202.5
iso_10,0.0022704016804865807,0.00044871794871794715,0.0005006570305068351,287.0,140.0,213.5
iso_386,0.002228467633945409,0.00044871794871794715,0.0008624117978893374,287.0,145.0,216.0
iso_2,0.002093754825012302,0.00044871794871794715,0.0008624117978893373,287.0,155.0,221.0
iso_3,0.0019942078729739583,0.00044871794871794715,0.00041045668188671963,287.0,161.0,224.0
