feature,impurity_importance,perm_importance_mean,perm_importance_std,rank_perm,rank_impurity,rank_avg
har_339,0.0008929280911270114,6.798096532972808e-05,0.00036608870204860006,53.0,182.0,117.5
har_468,0.002628613241097277,6.798096532971698e-05,0.00020394289598915094,57.0,96.0,76.5
har_472,0.0024941361576579072,6.798096532971698e-05,0.00020394289598915094,57.0,101.0,79.0
har_126,0.0024423473380277574,6.798096532971698e-05,0.00020394289598915094,57.0,106.0,81.5
har_432,0.0024059545345787394,6.798096532971698e-05,0.00020394289598915094,57.0,107.0,82.0
har_316,0.0012033671425044597,6.798096532971698e-05,0.00020394289598915094,57.0,160.0,108.5
har_128,0.0008102604279013631,6.798096532971698e-05,0.00020394289598915094,57.0,194.0,125.5
har_330,0.0007272087684087763,6.798096532971698e-05,0.00020394289598915094,57.0,215.0,136.0
har_49,0.023070623971803435,0.0,0.0,64.0,7.0,35.5
har_389,0.011909783495473432,0.0,0.0,64.0,11.0,37.5
har_58,0.009452380515106423,0.0,0.0,64.0,15.0,39.5
har_83,0.008114062678934369,0.0,0.0,64.0,21.0,42.5
har_393,0.007354474956344722,0.0,0.0,64.0,25.0,44.5
har_181,0.007289214408674265,0.0,0.0,64.0,27.0,45.5
har_344,0.0071378240006123575,0.0,0.0,64.0,29.0,46.5
har_353,0.006748477327690218,0.0,0.0,64.0,33.0,48.5
har_502,0.00664914964346186,0.0,0.0,64.0,38.0,51.0
har_96,0.006608828005167284,0.0,0.0,64.0,39.0,51.5
har_63,0.006402727373272344,0.0,0.0,64.0,41.0,52.5
har_100,0.005799276246656374,0.0,0.0,64.0,46.0,55.0
har_99,0.0057492721833861775,0.0,0.0,64.0,47.0,55.5
har_366,0.005634603745336016,0.0,0.0,64.0,49.0,56.5
har_86,0.005128791774360209,0.0,0.0,64.0,54.0,59.0
har_265,0.004937946934049556,0.0,0.0,64.0,55.0,59.5
har_287,0.0047310448980401355,0.0,0.0,64.0,59.0,61.5
har_95,0.004380935757751687,0.0,0.0,64.0,63.0,63.5
har_347,0.004215052462237795,0.0,0.0,64.0,66.0,65.0
har_175,0.003971652822774918,0.0,0.0,64.0,68.0,66.0
har_168,0.0034919809647852035,0.0,0.0,64.0,75.0,69.5
har_87,0.0033453926905554904,0.0,0.0,64.0,77.0,70.5
har_233,0.0033227015860432265,0.0,0.0,64.0,78.0,71.0
har_350,0.0033115534200616166,0.0,0.0,64.0,79.0,71.5
har_228,0.0032265038831102814,0.0,0.0,64.0,80.0,72.0
har_361,0.003182998927008232,0.0,0.0,64.0,82.0,73.0
har_232,0.0031173968939364736,0.0,0.0,64.0,84.0,74.0
har_39,0.003066037913317712,0.0,0.0,64.0,85.0,74.5
har_103,0.002780050522522201,0.0,0.0,64.0,92.0,78.0
har_77,0.0026025350944457485,0.0,0.0,64.0,98.0,81.0
har_303,0.002578774199670016,0.0,0.0,64.0,99.0,81.5
har_382,0.002473174145107101,0.0,0.0,64.0,103.0,83.5
har_165,0.0024595800848072145,0.0,0.0,64.0,104.0,84.0
har_351,0.0023721962168960753,0.0,0.0,64.0,108.0,86.0
har_184,0.0023188403133951427,0.0,0.0,64.0,110.0,87.0
har_123,0.0023121129008126184,0.0,0.0,64.0,111.0,87.5
har_252,0.002300277733165953,0.0,0.0,64.0,112.0,88.0
har_234,0.0022565985606567206,0.0,0.0,64.0,113.0,88.5
har_429,0.0021682869809058016,0.0,0.0,64.0,115.0,89.5
har_140,0.002161432909763934,0.0,0.0,64.0,116.0,90.0
har_296,0.0020217560739815843,0.0,0.0,64.0,119.0,91.5
har_423,0.001999888571012292,0.0,0.0,64.0,120.0,92.0
har_88,0.0019624473058493922,0.0,0.0,64.0,121.0,92.5
har_142,0.001899267306795799,0.0,0.0,64.0,123.0,93.5
har_97,0.0018403689204733798,0.0,0.0,64.0,126.0,95.0
har_359,0.0018158727949234093,0.0,0.0,64.0,127.0,95.5
har_132,0.001739927949872072,0.0,0.0,64.0,130.0,97.0
har_510,0.0016313765078335054,0.0,0.0,64.0,133.0,98.5
har_19,0.0015470072323320492,0.0,0.0,64.0,136.0,100.0
har_354,0.0014685689766905303,0.0,0.0,64.0,141.0,102.5
har_178,0.0014628330963873852,0.0,0.0,64.0,142.0,103.0
har_298,0.0014589657463994613,0.0,0.0,64.0,143.0,103.5
har_84,0.001457428323189836,0.0,0.0,64.0,144.0,104.0
har_515,0.0014201707639902635,0.0,0.0,64.0,145.0,104.5
har_257,0.0013911412906451991,0.0,0.0,64.0,146.0,105.0
har_520,0.001387231570875014,0.0,0.0,64.0,148.0,106.0
har_79,0.0013811834072434545,0.0,0.0,64.0,149.0,106.5
har_185,0.0013447097427534032,0.0,0.0,64.0,150.0,107.0
har_395,0.0013297940546375877,0.0,0.0,64.0,151.0,107.5
har_509,0.0013007646422239776,0.0,0.0,64.0,153.0,108.5
har_371,0.0013000764040079008,0.0,0.0,64.0,154.0,109.0
har_219,0.0012629271391392009,0.0,0.0,64.0,155.0,109.5
har_180,0.0012433941701741709,0.0,0.0,64.0,156.0,110.0
har_297,0.0012366887136522784,0.0,0.0,64.0,157.0,110.5
har_145,0.0012260587460236508,0.0,0.0,64.0,158.0,111.0
har_280,0.0012115139481037574,0.0,0.0,64.0,159.0,111.5
har_345,0.001183801544266923,0.0,0.0,64.0,161.0,112.5
har_538,0.0011730024066460175,0.0,0.0,64.0,163.0,113.5
har_127,0.0011500996017748644,0.0,0.0,64.0,164.0,114.0
har_299,0.0011155766409345865,0.0,0.0,64.0,166.0,115.0
har_293,0.0010955546948122835,0.0,0.0,64.0,167.0,115.5
har_172,0.0010817748800877715,0.0,0.0,64.0,168.0,116.0
har_227,0.0010507235824555672,0.0,0.0,64.0,171.0,117.5
har_205,0.00101506969584238,0.0,0.0,64.0,173.0,118.5
har_85,0.0010084657429032477,0.0,0.0,64.0,174.0,119.0
har_434,0.0009983254275333358,0.0,0.0,64.0,175.0,119.5
har_404,0.0009526801854461557,0.0,0.0,64.0,177.0,120.5
har_488,0.0009412361416465502,0.0,0.0,64.0,178.0,121.0
har_157,0.0009258067303082808,0.0,0.0,64.0,179.0,121.5
har_120,0.00091418784235682,0.0,0.0,64.0,181.0,122.5
har_518,0.000890725882974255,0.0,0.0,64.0,183.0,123.5
har_78,0.0008901327890273099,0.0,0.0,64.0,184.0,124.0
har_213,0.0008784430505515213,0.0,0.0,64.0,185.0,124.5
har_428,0.0008657511795207138,0.0,0.0,64.0,186.0,125.0
har_141,0.0008556862941194488,0.0,0.0,64.0,187.0,125.5
har_490,0.0008552264369800325,0.0,0.0,64.0,188.0,126.0
har_59,0.0008539868121686636,0.0,0.0,64.0,189.0,126.5
har_447,0.0008520092416211465,0.0,0.0,64.0,190.0,127.0
har_182,0.0008491414771206719,0.0,0.0,64.0,191.0,127.5
har_187,0.0008488901782213337,0.0,0.0,64.0,192.0,128.0
har_456,0.0008129437352282373,0.0,0.0,64.0,193.0,128.5
har_284,0.0008084138571508119,0.0,0.0,64.0,195.0,129.5
har_457,0.0007964903693731678,0.0,0.0,64.0,197.0,130.5
har_421,0.00078663433042945,0.0,0.0,64.0,199.0,131.5
har_459,0.0007771535118782407,0.0,0.0,64.0,200.0,132.0
har_221,0.0007698600368375738,0.0,0.0,64.0,202.0,133.0
har_44,0.0007526206023818443,0.0,0.0,64.0,203.0,133.5
har_363,0.0007519426860021617,0.0,0.0,64.0,204.0,134.0
har_390,0.0007505427612160604,0.0,0.0,64.0,205.0,134.5
har_124,0.000744925675661146,0.0,0.0,64.0,206.0,135.0
har_158,0.0007436013729588263,0.0,0.0,64.0,207.0,135.5
har_408,0.000739649547425066,0.0,0.0,64.0,208.0,136.0
har_125,0.0007362537689204082,0.0,0.0,64.0,209.0,136.5
har_433,0.0007351912467316349,0.0,0.0,64.0,210.0,137.0
har_318,0.0007326913342406059,0.0,0.0,64.0,211.0,137.5
har_122,0.0007320199896731537,0.0,0.0,64.0,212.0,138.0
har_442,0.0007300556401458419,0.0,0.0,64.0,213.0,138.5
har_138,0.0007298043195896748,0.0,0.0,64.0,214.0,139.0
har_288,0.0007207902087334811,0.0,0.0,64.0,216.0,140.0
har_474,0.0007154913821967606,0.0,0.0,64.0,217.0,140.5
har_521,0.0007112802977886193,0.0,0.0,64.0,219.0,141.5
har_482,0.0007103610254365477,0.0,0.0,64.0,220.0,142.0
har_48,0.0007081907588543296,0.0,0.0,64.0,221.0,142.5
har_438,0.0007016008746798029,0.0,0.0,64.0,224.0,144.0
har_197,0.000694469963898619,0.0,0.0,64.0,225.0,144.5
har_427,0.0006900537722607976,0.0,0.0,64.0,226.0,145.0
har_325,0.0006755284525215144,0.0,0.0,64.0,227.0,145.5
har_500,0.0006651727706538227,0.0,0.0,64.0,229.0,146.5
har_458,0.0006631028737678397,0.0,0.0,64.0,230.0,147.0
har_270,0.0006583680394347237,0.0,0.0,64.0,231.0,147.5
har_522,0.0006536334742771223,0.0,0.0,64.0,232.0,148.0
har_454,0.0006327068607256422,0.0,0.0,64.0,233.0,148.5
har_367,0.000623424331606801,0.0,0.0,64.0,234.0,149.0
har_98,0.0006184703208184237,0.0,0.0,64.0,235.0,149.5
har_441,0.0006043516914213954,0.0,0.0,64.0,236.0,150.0
har_104,0.0005865479119126514,0.0,0.0,64.0,237.0,150.5
har_496,0.0005850349392700331,0.0,0.0,64.0,239.0,151.5
har_397,0.0005823778709253352,0.0,0.0,64.0,240.0,152.0
har_544,0.0005709814552037018,0.0,0.0,64.0,241.0,152.5
har_430,0.0005658038751230963,0.0,0.0,64.0,242.0,153.0
har_137,0.0005641539086277769,0.0,0.0,64.0,243.0,153.5
har_374,0.0005553120202064047,0.0,0.0,64.0,244.0,154.0
har_17,0.0005522083630476027,0.0,0.0,64.0,246.0,155.0
har_346,0.0005405544652882748,0.0,0.0,64.0,247.0,155.5
har_25,0.0005399953651476534,0.0,0.0,64.0,248.0,156.0
har_453,0.0005339207501249791,0.0,0.0,64.0,249.0,156.5
har_491,0.0005292191096642705,0.0,0.0,64.0,250.0,157.0
